,date,btc,Gold,Dollar,SnP
327,2018-11-16,0.03530051990895118,0.4487292254988194,0.269193703822679,0.5116364764749234
328,2018-11-19,0.024626882010160056,0.4497939910189342,0.2661955241460541,0.5027927543539815
329,2018-11-20,0.019601796650105266,0.4478959307439469,0.2731555841096478,0.4933284201543772
330,2018-11-21,0.021064375955430883,0.4510439331512429,0.2717635721169289,0.4948799503510336
331,2018-11-22,0.016899294667874584,0.4488218138049163,0.2717635721169289,0.4932023583258989
332,2018-11-23,0.017623501092319638,0.4503958150085643,0.2740122068743977,0.4915247663007641
333,2018-11-26,0.009632904185100342,0.4484514605805286,0.2756183745583038,0.499437570303712
334,2018-11-27,0.009819071456035548,0.4442849868061663,0.2788307099261162,0.501144253520034
335,2018-11-28,0.015394645279801111,0.4490069904171102,0.2726201948816791,0.5130910360342887
336,2018-11-29,0.015838098294888095,0.4521549928244062,0.2725131170360853,0.5119273883867964
337,2018-11-30,0.01219603113128885,0.4501180500902735,0.2777599314701788,0.5162716729374345
338,2018-12-03,0.009944995513239983,0.4564140549048654,0.2752971410215228,0.5221286994298125
339,2018-12-04,0.010912750511959987,0.4596546456182583,0.2745475961023664,0.5046158023350529
340,2018-12-05,0.00831127396653196,0.4578028794963195,0.2756183745583038,0.5042085256584306
341,2018-12-06,0.004575193046588037,0.4582658210268042,0.2728343505728665,0.5038012489818082
342,2018-12-07,0.003069828180916813,0.4624322948011665,0.2696220152050541,0.4916217369380551
343,2018-12-10,0.003489527339758415,0.4609508819036155,0.2772245422422101,0.4925138668011325
344,2018-12-11,0.0027384189576378573,0.4599324105365492,0.2790448656173039,0.4923393196540088
345,2018-12-12,0.00366295910945362,0.4612286468219063,0.2752971410215228,0.4951126798805321
346,2018-12-13,0.001617551752998811,0.4600249988426461,0.2755112967127102,0.4949963151157829
347,2018-12-14,0.000502980751219996,0.4572473496597379,0.2795802548452726,0.4851828866219309
348,2018-12-17,0.0045799151987332,0.4620619415767787,0.2759396080950851,0.4747100577944998
349,2018-12-18,0.006639059725064851,0.4628952363316512,0.2759396080950851,0.4747682401768744
350,2018-12-19,0.006771279985129511,0.4641914726170084,0.275190063175929,0.4671657422132578
351,2018-12-20,0.012314800412515758,0.4695153002175825,0.2671592247563978,0.4594856677398083
352,2018-12-21,0.00929605733207848,0.4649784732188323,0.2744405182567726,0.4496334509910399
353,2018-12-24,0.011719379955666145,0.4713207721864727,0.270050326587429,0.4369302975059151
354,2018-12-25,0.00796712924201301,0.4715985371047636,0.270050326587429,0.448237073814049
355,2018-12-26,0.00842431942697685,0.4718763020230544,0.2754042188671164,0.4595438501221829
356,2018-12-27,0.005421746140248769,0.4756261284199804,0.2693007816682728,0.4636360110158644
357,2018-12-28,0.00930464306325151,0.4765057173279013,0.2684441589035229,0.46303479306466
358,2018-12-31,0.00735339255866093,0.4757187167260773,0.2659813684548666,0.4671269539583414
359,2019-01-01,0.00870192473490481,0.476366834868756,0.2659813684548666,0.4674372599976727
360,2019-01-02,0.009580817415983968,0.4770149530114345,0.2729414284184601,0.4677475660370039
361,2019-01-03,0.008267486737549512,0.4819684273876208,0.2674804582931791,0.4557038128854583
362,2019-01-04,0.008628516733375412,0.4778019536132585,0.2660884463004604,0.471994879950351
363,2019-01-07,0.011253460944009724,0.4797000138882459,0.2606274761751794,0.4754470346379116
364,2019-01-08,0.010962690848283115,0.4778482477663071,0.2630902666238355,0.4802373841200884
365,2019-01-09,0.01112753688680529,0.4806721911022636,0.2558089731234607,0.4822931616306582
366,2019-01-10,0.005678888788881016,0.4785426600620341,0.2592354641824608,0.4845428804158101
367,2019-01-11,0.0058996851755474325,0.4795148372760519,0.2606274761751794,0.4844846980334354
368,2019-01-14,0.00625427587299357,0.4803481320309244,0.2599850091016169,0.4818277025716612
369,2019-01-15,0.0052092492937162865,0.4790056015925188,0.264589356462148,0.4871998758775843
370,2019-01-16,0.005764173718533112,0.4815054858571361,0.2648035121533354,0.4883247352701601
371,2019-01-17,0.006112897499677673,0.480811073561409,0.2648035121533354,0.4921841666343431
372,2019-01-18,0.005807531660956912,0.4763205407157075,0.2678016918299604,0.4989139288623405
373,2019-01-21,0.004834911414572186,0.4766908939400953,0.2678016918299604,0.4934156937279392
374,2019-01-22,0.005464960987153024,0.4778019536132585,0.2673733804475853,0.4915829486831387
375,2019-01-23,0.005205815001247074,0.4769686588583861,0.2654459792268979,0.4927078080757146
376,2019-01-24,0.005446215474091909,0.4750243044303504,0.2705857158153977,0.4934059966642101
377,2019-01-25,0.005384255114126546,0.4834961344382203,0.2619124103223045,0.4977696753423064
378,2019-01-28,0.0035077004707413303,0.4858108420906438,0.2614840989399294,0.4936969085760832
379,2019-01-29,0.003177006725060126,0.4884959029674551,0.2622336438590855,0.4929599317326713
380,2019-01-30,0.0038515590042211695,0.4915513170686542,0.2570939072705858,0.5009309181179938
381,2019-01-31,0.003506984993143572,0.4960418499143557,0.2596637755648356,0.5053915674333811
