date,btc,Gold,Dollar,SnP
2021-03-29,0.7791043050430153,0.4925707180603047,0.17045454545454497,0.5746436857805768
2021-03-30,0.795003648220271,0.46813801678582534,0.1845611285266453,0.5705004971826317
2021-03-31,0.7949175047175017,0.495741373950886,0.18181818181818166,0.5752403049386807
2021-04-01,0.7946297396276856,0.5076779608330744,0.17006269592476464,0.590818694066954
2021-04-02,0.7979147834700063,0.5077712154180916,0.1735893416927894,0.59562479284057
2021-04-05,0.8004902166308762,0.5080509791731427,0.15713166144200574,0.6100430891614186
2021-04-06,0.7841939264823874,0.5212931302455706,0.1465517241379306,0.6087172688100762
2021-04-07,0.7550353524635826,0.519987566055331,0.15164576802507757,0.6107059993370898
2021-04-08,0.7854298424847449,0.5354678271681692,0.13597178683385547,0.6164401723566455
2021-04-09,0.7863602495528623,0.5229717127758782,0.139890282131661,0.6269141531322506
2021-04-12,0.810936332653582,0.5116879079888095,0.1391065830720999,0.6266489890619822
2021-04-13,0.8640963181665916,0.5255828411563568,0.1277429467084632,0.6311567782565464
2021-04-14,0.8552892182248171,0.5150450730494249,0.12147335423197436,0.6255551872721246
2021-04-15,0.8581575679142069,0.5434877214796394,0.12147335423197436,0.6407026847862114
2021-04-16,0.8320400598768893,0.5559838358719305,0.1163793103448274,0.645707656612529
2021-04-19,0.7504518598768606,0.547031395710289,0.09717868338557922,0.6383493536625788
2021-04-20,0.7617830216879863,0.5543052533416228,0.10384012539184884,0.6289360291680477
2021-04-21,0.7240434386482968,0.5680136773391358,0.10031347962382453,0.6416970500497181
2021-04-22,0.6940410303507029,0.5576624184022383,0.10736677115987403,0.6289691746768313
2021-04-23,0.6859443996634966,0.5537457258315202,0.08894984326018784,0.6439509446470002
2021-04-26,0.7271022484742082,0.5558905812869133,0.08699059561128486,0.6464037122969839
2021-04-27,0.7415631954889425,0.5546782716816911,0.09090909090909038,0.6461054027179316
2021-04-28,0.739191387252393,0.5501087970158536,0.07915360501567381,0.6449453099105071
2021-04-29,0.7207146075769937,0.5448865402548959,0.07915360501567381,0.6543254888962546
2021-04-30,0.7799457066979721,0.5443270127447934,0.10540752351097149,0.6442823997348359
2021-05-03,0.7724349090678058,0.5668013677339137,0.09208463949843226,0.6480941332449452
2021-05-04,0.7156348597284706,0.5520671433012123,0.10579937304075226,0.6388133907855484
2021-05-05,0.7762515527652566,0.5598072738576314,0.10658307210031337,0.639774610540272
2021-05-06,0.7613348465207541,0.5890892135529999,0.09247648902821304,0.6510440835266822
2021-05-07,0.7745149455399918,0.6036369288156669,0.06426332288401237,0.6613191912495857
2021-05-10,0.7530705078846347,0.609511967671744,0.06347962382445083,0.6466688763672521
2021-05-11,0.7652891481080125,0.6081131488964875,0.06073667711598718,0.6346370566788202
2021-05-12,0.6645685047620042,0.5957102890892136,0.08307210031347889,0.6051044083526682
2021-05-13,0.665135878497022,0.5968293441094188,0.08463949843260155,0.6215114352005304
2021-05-14,0.6675753709143188,0.6099782405968295,0.06778996865203712,0.6418627775936359
2021-05-17,0.5773763980253391,0.637488343176873,0.061520376175548286,0.6383493536625788
2021-05-18,0.5675277057967566,0.6378613615169413,0.04545454545454497,0.6265826980444151
2021-05-19,0.4793853017147565,0.6504507304942495,0.06269592476488972,0.6225720914816042
2021-05-20,0.5342846132679024,0.6508237488343178,0.04780564263322873,0.6369572422936693
2021-05-21,0.4874261251493381,0.6459745104134289,0.05603448275862011,0.6358965860125951
2021-05-24,0.5095240800424823,0.6532483680447623,0.048981191222570164,0.649552535631422
2021-05-25,0.5027761246270395,0.6658377370220705,0.041144200626959115,0.6465694398409016
2021-05-26,0.5159007025846916,0.6688218837426176,0.05681818181818166,0.6491879350348029
2021-05-27,0.505713303261333,0.6636928815666772,0.05407523510971757,0.6508120649651972
2021-05-28,0.46469511567770244,0.6726453217283184,0.05642633228840088,0.6518727212462712
2021-05-31,0.48745188234285713,0.6723655579732672,0.05642633228840088,0.65135067948293
2021-06-01,0.4794282303706216,0.6723655579732672,0.04858934169278939,0.6511766655618163
2021-06-02,0.49195753096694367,0.676935032639105,0.05172413793103381,0.6531985415976136
2021-06-03,0.5159705331982322,0.6428038545228474,0.07523510971786829,0.6481604242625123
2021-06-04,0.4813730415768325,0.6602424619210445,0.06073667711598718,0.6604242625124295
